Response ID,Time Started,Date Submitted,Status,Language,Country,Link Name,I consider myself:,WiFi Router:Check all the internet connected devices you currently own:,Laptop computer:Check all the internet connected devices you currently own:,Smart phone:Check all the internet connected devices you currently own:,Smart TV:Check all the internet connected devices you currently own:,Activity Tracker (ex: Fitbit or Apple Watch):Check all the internet connected devices you currently own:,"Smarthome Hub (ex. Amazon Echo, Google Alexa):Check all the internet connected devices you currently own:",Car that connects to the internet:Check all the internet connected devices you currently own:,Smart Thermostat (ex: Nest):Check all the internet connected devices you currently own:,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge):Check all the internet connected devices you currently own:",Smart Door Locks (ex. Door locks for your home you can open via bluetooth):Check all the internet connected devices you currently own:,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs):Check all the internet connected devices you currently own:",Thinking about a future in which so much of your world is connected to the internet leaves you feeling:,What are you most excited about as we move toward a more digitally connected future?,What is your biggest fear as we move towards a more connected future?,"Who is most responsible for protecting the online safety, privacy, and security of the connected apps and devices you own?","Who do you most trust to help you learn how to protect your safety, security and privacy online?",Price,Feature,Safety,Security,Privacy,Reliability,UserReviews,ExpertRecommendation,FriendorFamilyRecommendation,Convenience,IoT:Check all the terms below that you could explain to a friend:,Connected Devices:Check all the terms below that you could explain to a friend:,Botnet:Check all the terms below that you could explain to a friend:,Blockchain:Check all the terms below that you could explain to a friend:,RFID:Check all the terms below that you could explain to a friend:,DDOS:Check all the terms below that you could explain to a friend:,Zero Day:Check all the terms below that you could explain to a friend:,VPN:Check all the terms below that you could explain to a friend:,TOR:Check all the terms below that you could explain to a friend:,I donâ€™t know what any of these things are:Check all the terms below that you could explain to a friend:,Country or Region (optional)
11,7/20/17 14:16,7/20/17 14:16,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How much fun it will be,Weâ€™ll be less safe,I honestly donâ€™t know,I just donâ€™t know who to trust,1,2,8,10,9,4,5,3,7,6,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,,,United States
12,7/20/17 14:17,7/20/17 14:17,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,None of the above,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,9,8,3,1,2,6,4,7,5,10,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,United States
13,7/20/17 14:18,7/20/17 14:18,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How easy it will make life,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,My friends and family,1,4,3,6,5,2,10,9,7,8,IoT,,Botnet,Blockchain,RFID,DDOS,,VPN,,,United States
14,7/20/17 14:17,7/20/17 14:17,Complete,English,Canada,Default Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7/20/17 14:19,7/20/17 14:19,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,,Smart Thermostat (ex: Nest),,,,Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,None of the above,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,The media,5,4,,1,3,2,,,,6,IoT,Connected Devices,Botnet,,RFID,DDOS,,VPN,TOR,,Zimbabwe
16,7/23/17 18:52,7/23/17 18:52,Complete,English,United Kingdom,Hidden Link,,,,,,,,,,,,,,,,,,1,,,2,,,,3,,,,,,,,,,,,,
17,7/23/17 18:53,7/23/17 18:53,Complete,French,United Kingdom,Default Link,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,
18,7/23/17 18:55,7/23/17 18:55,Complete,English,United Kingdom,Default Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7/24/17 10:33,7/24/17 10:33,Complete,English,United States,Snippet,Average User:   I know enough to get by.,,Laptop computer,Smart phone,,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How it will make us all smarter and better educated,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,My friends and family,1,3,7,6,5,4,2,9,8,10,,Connected Devices,Botnet,,,,Zero Day,VPN,,,United States
20,7/26/17 2:32,7/26/17 2:45,Complete,German,United Kingdom,Default Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7/26/17 12:13,7/26/17 12:16,Complete,English,United States,Snippet,Average User:   I know enough to get by.,WiFi Router,Laptop computer,Smart phone,,,,,,,,,Super excited! I canâ€™t wait for everything to be connected. My life will be so much better.,How it will bring the world together,The loss of privacy,,The government,,,,,,,,,,,IoT,Connected Devices,,Blockchain,,,,,TOR,,
22,7/27/17 15:23,7/27/17 15:24,Complete,pt-br,United Kingdom,Default Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7/28/17 10:07,7/28/17 10:15,Complete,English,United Kingdom,Email,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How much fun it will be,The loss of privacy,I honestly donâ€™t know,The media,9,1,8,3,4,2,10,5,6,7,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,Germany
24,7/29/17 0:48,7/29/17 0:53,Complete,English,United Kingdom,MozFr community,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,,Activity Tracker (ex: Fitbit or Apple Watch),,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How it will make us all smarter and better educated,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,4,3,9,2,1,8,6,5,10,7,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,United Kingdom
25,7/29/17 11:21,7/29/17 11:24,Complete,French,France,MozFr community,Luddite:  Technology scares me! I only use it when I have to.,,Laptop computer,,,,,,,,,,Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,None of the above,The loss of privacy,I honestly donâ€™t know,I just donâ€™t know who to trust,,,,,,,,,,,,Connected Devices,,,,,,,,,France
26,7/31/17 3:47,7/31/17 3:50,Complete,English,Finland,Email,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,,Activity Tracker (ex: Fitbit or Apple Watch),,,,,,,Super excited! I canâ€™t wait for everything to be connected. My life will be so much better.,How easy it will make life,Weâ€™ll be less safe,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,My friends and family,4,2,,,,,,,3,1,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,,,Finland
27,7/31/17 9:48,7/31/17 9:50,Complete,English,United States,Snippet,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,Activity Tracker (ex: Fitbit or Apple Watch),,,,,,,On the fence.  Iâ€™m not sure about all this. I think Iâ€™ll wait and see.,How it will make us all smarter and better educated,Weâ€™ll be less safe,Itâ€™s up to me to protect myself online,Non-profit organizations like Mozilla and Consumer Reports,6,10,9,8,4,7,3,2,1,5,IoT,Connected Devices,,,RFID,DDOS,Zero Day,VPN,TOR,,United States
28,8/1/17 1:07,8/1/17 1:11,Complete,French,France,MozFr community,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,Other (please specify),The loss of privacy,I honestly donâ€™t know,I just donâ€™t know who to trust,1,2,9,8,5,3,7,6,10,4,,,,,,,,,,I donâ€™t know what any of these things are,France
29,8/1/17 1:12,8/1/17 1:15,Complete,French,France,MozFr community,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How easy it will make life,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,4,6,7,2,3,5,10,8,9,1,IoT,Connected Devices,,,RFID,DDOS,Zero Day,VPN,TOR,,France
30,8/16/17 0:08,8/16/17 0:12,Complete,English,France,MozFr community,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,,,,,,,,,,Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,None of the above,Other (please specify),The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,,,,,,,,,,,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,France
31,8/19/17 22:02,8/19/17 22:07,Complete,English,Malaysia,Snippet,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,On the fence.  Iâ€™m not sure about all this. I think Iâ€™ll wait and see.,How easy it will make life,Weâ€™ll be less safe,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,4,1,5,3,7,2,6,9,10,8,IoT,,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,Malaysia
32,8/21/17 13:16,8/21/17 13:21,Complete,English,Canada,Blog,Average User:   I know enough to get by.,WiFi Router,Laptop computer,,,,,,,,,,Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,How it will make us all smarter and better educated,The loss of privacy,The government should create policies and rules to ensure these devices are safe and secure,Non-profit organizations like Mozilla and Consumer Reports,8,4,7,5,1,2,3,10,9,6,,Connected Devices,,Blockchain,,,Zero Day,VPN,,,Canada
33,8/21/17 19:24,8/21/17 19:28,Complete,English,Canada,Blog,Average User:   I know enough to get by.,WiFi Router,,Smart phone,Smart TV,,"Smarthome Hub (ex. Amazon Echo, Google Alexa)",Car that connects to the internet,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,None of the above,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,1,4,5,2,3,6,8,7,9,10,,Connected Devices,,,,,,VPN,,,Canada
34,8/21/17 19:30,8/21/17 19:32,Complete,English,United States,Blog,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,Activity Tracker (ex: Fitbit or Apple Watch),,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,Other (please specify),The loss of privacy,Itâ€™s up to me to protect myself online,I just donâ€™t know who to trust,,,,,,,,,,,IoT,Connected Devices,Botnet,,,DDOS,Zero Day,VPN,TOR,,United States
35,8/21/17 19:57,8/21/17 20:07,Complete,English,Taiwan,Social,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",,,,Smart TV,,,,,,,,Super excited! I canâ€™t wait for everything to be connected. My life will be so much better.,How it will make us all smarter and better educated,Weâ€™ll lose touch with one another,Itâ€™s up to me to protect myself online,Non-profit organizations like Mozilla and Consumer Reports,,1,,,,,,,,,IoT,,,,,,,,,,Afghanistan
36,8/21/17 20:27,8/21/17 20:30,Complete,English,India,Blog,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,Super excited! I canâ€™t wait for everything to be connected. My life will be so much better.,How it will make us all smarter and better educated,Weâ€™ll lose touch with one another,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,The makers of connected devices and apps,4,2,8,9,10,3,7,5,6,1,IoT,Connected Devices,Botnet,Blockchain,,DDOS,,VPN,,,India
37,8/22/17 0:43,8/22/17 0:47,Complete,English,Hong Kong,Social,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How much fun it will be,Weâ€™ll be less safe,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,,1,2,4,5,6,3,10,8,9,7,IoT,Connected Devices,,,RFID,DDOS,,VPN,TOR,,Hong Kong
38,8/21/17 1:49,8/22/17 0:59,Complete,Spanish,United Kingdom,Social,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How easy it will make life,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,2,1,6,4,7,8,5,3,10,9,IoT,Connected Devices,Botnet,,,DDOS,Zero Day,VPN,TOR,,Spain
39,8/22/17 1:06,8/22/17 1:08,Complete,English,Indonesia,Social,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,,Activity Tracker (ex: Fitbit or Apple Watch),,,,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge)",,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs)",A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How easy it will make life,Weâ€™ll be less safe,The government should create policies and rules to ensure these devices are safe and secure,I just donâ€™t know who to trust,7,2,5,6,3,4,10,8,9,1,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,Indonesia
40,8/21/17 23:41,8/22/17 1:45,Complete,English,Canada,Blog,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,None of the above,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,6,1,2,3,4,5,8,9,7,10,IoT,Connected Devices,Botnet,,,DDOS,Zero Day,VPN,TOR,,Canada
41,8/22/17 3:10,8/22/17 3:15,Complete,English,Indonesia,Social,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How it will make us all smarter and better educated,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,3,2,4,6,5,7,1,8,9,10,IoT,Connected Devices,,,RFID,DDOS,,VPN,TOR,,Indonesia
42,8/22/17 3:08,8/22/17 3:15,Complete,French,France,Social,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How it will make us all smarter and better educated,The loss of privacy,Itâ€™s up to me to protect myself online,Non-profit organizations like Mozilla and Consumer Reports,1,7,6,5,4,3,9,8,10,2,IoT,Connected Devices,Botnet,Blockchain,,,,VPN,TOR,,France
43,8/22/17 1:50,8/22/17 3:20,Complete,English,Indonesia,Social,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,Activity Tracker (ex: Fitbit or Apple Watch),,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How it will make us all smarter and better educated,Weâ€™ll be less safe,The government should create policies and rules to ensure these devices are safe and secure,Non-profit organizations like Mozilla and Consumer Reports,6,1,10,8,7,4,3,2,9,5,IoT,Connected Devices,,,RFID,DDOS,,VPN,TOR,,Indonesia
44,8/22/17 3:28,8/22/17 3:32,Complete,French,France,Social,Average User:   I know enough to get by.,WiFi Router,Laptop computer,Smart phone,,,,,,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge)",,,On the fence.  Iâ€™m not sure about all this. I think Iâ€™ll wait and see.,Other (please specify),The loss of privacy,The government should create policies and rules to ensure these devices are safe and secure,Non-profit organizations like Mozilla and Consumer Reports,6,5,8,4,3,7,2,10,9,1,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,France
45,8/22/17 3:43,8/22/17 3:46,Complete,Spanish,Mexico,Social,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How easy it will make life,The loss of privacy,The government should create policies and rules to ensure these devices are safe and secure,Non-profit organizations like Mozilla and Consumer Reports,1,4,2,3,5,9,8,7,10,6,,Connected Devices,,,,DDOS,,VPN,TOR,,Mexico
46,8/22/17 4:09,8/22/17 4:18,Complete,French,France,Social,"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. Iâ€™m basically Mr. Robot.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,How it will make us all smarter and better educated,Other (please specify),The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,I just donâ€™t know who to trust,5,2,6,3,4,1,8,9,7,10,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,France
47,8/22/17 4:49,8/22/17 4:51,Complete,French,France,Social,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,Activity Tracker (ex: Fitbit or Apple Watch),,,Smart Thermostat (ex: Nest),"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge)",,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs)",Super excited! I canâ€™t wait for everything to be connected. My life will be so much better.,How easy it will make life,The loss of privacy,The government should create policies and rules to ensure these devices are safe and secure,I just donâ€™t know who to trust,2,1,6,5,7,3,8,9,10,4,IoT,Connected Devices,,,RFID,DDOS,,VPN,TOR,,France
48,8/22/17 4:58,8/22/17 5:00,Complete,English,United States,Blog,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,None of the above,Weâ€™ll lose touch with one another,Itâ€™s up to me to protect myself online,Non-profit organizations like Mozilla and Consumer Reports,3,4,8,5,6,7,2,10,1,9,IoT,Connected Devices,,,,DDOS,,VPN,TOR,,United States
